"id","type","mass","i:0","i:1","i:2","v:0","v:1","v:2","f:0","f:1","f:2","radius","Points:0","Points:1","Points:2"
270,1,0.044787,0,0,0,7.0486e-13,8.2029e-13,1.9697e-14,5.3944e-11,9.3678e-11,8.2764e-11,0.00709,0.034782,0.025127,0.052588
357,1,0.020119,0,0,0,1.7318e-12,9.8151e-13,1.4812e-14,1.2875e-11,1.5973e-11,-7.7307e-12,0.00543,0.044201,0.038259,0.046088
388,1,0.015897,0,0,0,1.7628e-12,1.0558e-12,-7.5677e-13,-8.8676e-12,-3.908e-11,3.8199e-11,0.00502,0.053946,0.040251,0.047905
315,1,0.029373,0,0,0,3.8488e-13,-5.0836e-13,-4.7834e-13,1.815e-10,-1.296e-11,1.3642e-11,0.00616,0.072341,0.028257,0.048634
263,1,0.057146,0,0,0,-4.3845e-13,1.3345e-13,-3.7475e-13,1.7434e-10,-1.3915e-10,5.6389e-11,0.00769,0.082751,0.037027,0.05047
313,1,0.029949,0,0,0,-8.098e-14,1.8444e-14,-2.9022e-13,1.2369e-10,-5.8662e-11,-2.7285e-11,0.0062,0.094466,0.032707,0.041796
335,1,0.024392,0,0,0,4.8874e-12,2.4272e-12,-1.9097e-12,3.3538e-11,-6.23e-11,-1.3642e-12,0.00579,0.035797,0.057921,0.042757
311,1,0.03024,0,0,0,3.1336e-12,1.7642e-12,5.5551e-13,8.7994e-11,-7.8714e-11,5.2751e-11,0.00622,0.036056,0.046298,0.043573
273,1,0.043103,0,0,0,5.2278e-12,1.5328e-12,-1.9202e-13,-2.9024e-10,-7.4053e-11,3.638e-11,0.007,0.042781,0.04698,0.054533
346,1,0.022187,0,0,0,6.0434e-13,1.0349e-12,-1.1192e-12,9.868e-11,4.5134e-11,-4.1382e-11,0.00561,0.058594,0.055868,0.043619
288,1,0.036128,0,0,0,-4.6235e-13,1.4411e-13,-3.2507e-13,3.9336e-11,-9.49e-11,1.6669e-11,0.0066,0.093681,0.055076,0.047475
350,1,0.021136,0,0,0,5.3317e-13,-5.3111e-13,-8.4902e-14,-3.4106e-11,2.0464e-12,7.5374e-11,0.00552,0.09484,0.075692,0.046716
269,1,0.044976,0,0,0,2.344e-12,1.0178e-12,3.4594e-13,-6.5711e-11,-4.6384e-11,1.9099e-11,0.0071,0.012531,0.05206,0.048355
316,1,0.029373,0,0,0,5.5812e-12,3.4837e-12,5.6763e-13,9.3223e-12,-1.2346e-10,1.3188e-11,0.00616,0.03145,0.052892,0.052324
295,1,0.034351,0,0,0,2.5439e-12,-4.9395e-12,6.5923e-12,-1.196e-10,-1.0232e-11,-1.055e-10,0.00649,0.045675,0.059292,0.049384
262,1,0.064099,0,0,0,3.7406e-13,2.0164e-12,-1.8586e-12,4.6111e-10,-2.0691e-10,2.0827e-10,0.00799,0.066806,0.059868,0.052748
284,1,0.037964,0,0,0,4.6978e-13,-2.8908e-13,-7.4215e-13,1.3805e-10,-1.2955e-10,8.1855e-12,0.00671,0.085587,0.064082,0.0438
366,1,0.019028,0,0,0,5.9365e-13,-2.5219e-13,-2.7056e-13,-7.5488e-11,-6.8802e-11,5.8037e-11,0.00533,0.095438,0.067826,0.039743
348,1,0.021833,0,0,0,6.9104e-13,2.6035e-13,3.5067e-13,1.728e-11,-1.6598e-11,2.2055e-11,0.00558,0.0051039,0.069468,0.03995
286,1,0.03729,0,0,0,3.6511e-12,2.0192e-12,-4.4904e-13,-4.1496e-11,7.7762e-11,7.276e-12,0.00667,0.025162,0.069298,0.047813
279,1,0.039687,0,0,0,3.0449e-12,1.5083e-12,-4.3092e-13,5.3959e-11,8.0568e-11,-6.2755e-11,0.00681,0.025598,0.0818,0.051415
292,1,0.035637,0,0,0,1.476e-10,-1.7885e-11,-6.3643e-12,-1.471e-09,2.4556e-10,2.8831e-10,0.00657,0.053622,0.073085,0.046097
274,1,0.041642,0,0,0,-8.5359e-14,8.1445e-13,2.7844e-12,6.1618e-11,-2.0577e-11,-1.9918e-10,0.00692,0.038569,0.078339,0.054042
347,1,0.022187,0,0,0,1.1682e-12,-1.7904e-12,-5.1391e-13,7.8785e-11,1.0135e-10,-2.2737e-12,0.00561,0.074344,0.07684,0.05263
349,1,0.021367,0,0,0,1.2787e-12,-3.4641e-13,-1.7262e-12,1.5243e-10,5.7526e-11,-2.0009e-11,0.00554,0.073527,0.068664,0.045833
298,1,0.033877,0,0,0,6.9055e-13,9.6945e-14,-3.3211e-13,3.1861e-11,2.0998e-10,-6.8212e-11,0.00646,0.08571,0.079953,0.05258
329,1,0.027279,0,0,0,7.0281e-13,-5.4864e-13,-6.3971e-13,7.7467e-11,4.1155e-11,-1.9099e-11,0.00601,0.085144,0.076438,0.041178
314,1,0.02966,0,0,0,2.4795e-13,-6.3062e-13,3.3915e-13,-1.08e-12,-8.1362e-11,-1.0819e-10,0.00618,0.0060888,0.087245,0.05131
368,1,0.018815,0,0,0,1.4189e-12,6.3969e-13,2.4513e-13,2.2212e-11,1.5234e-11,1.819e-12,0.00531,0.01599,0.095017,0.050923
360,1,0.019678,0,0,0,7.5329e-12,5.5215e-12,4.4584e-12,-5.9117e-11,-2.7853e-12,-7.0486e-11,0.00539,0.056905,0.089877,0.04583
307,1,0.031722,0,0,0,3.48e-12,-7.4059e-13,-3.3261e-13,1.4984e-10,-6.23e-11,-3.4106e-11,0.00632,0.066246,0.08376,0.048304
299,1,0.033564,0,0,0,-9.9112e-14,3.0183e-14,-1.4802e-13,5.6161e-11,-8.4128e-11,3.0468e-11,0.00644,0.09403,0.093992,0.04771
386,1,0.015897,0,0,0,-3.7785e-13,4.0859e-13,4.7101e-13,6.5938e-12,-1.819e-12,1.8758e-11,0.00502,0.040192,0.0043138,0.045129
367,1,0.018815,0,0,0,3.643e-13,5.3944e-13,3.3758e-13,3.4333e-11,1.6371e-11,-4.5475e-12,0.00531,0.012594,0.026793,0.045399
378,1,0.016866,0,0,0,1.0449e-12,1.2628e-12,5.0944e-13,2.3078e-11,-8.1286e-12,1.8872e-11,0.00512,0.034337,0.036292,0.048325
356,1,0.020342,0,0,0,6.8366e-13,1.5955e-12,-5.6419e-13,1.1894e-11,-1.3983e-11,-6.5484e-11,0.00545,0.062781,0.047682,0.04909
370,1,0.018393,0,0,0,2.1456e-12,7.1704e-13,5.5683e-13,-2.3789e-11,-1.1369e-11,-8.4128e-11,0.00527,0.012094,0.064001,0.046231
372,1,0.018288,0,0,0,3.5866e-12,2.0904e-12,9.0427e-13,3.6039e-11,-9.004e-11,1.1823e-11,0.00526,0.02287,0.058043,0.047764
318,1,0.029373,0,0,0,5.6393e-12,-6.1216e-13,5.1922e-12,-7.6398e-11,6.1448e-11,5.0022e-12,0.00616,0.046233,0.087212,0.048838
